corpus,total_sections,compiled_sections,words,r2_bytes_est,neon_heap_bytes
pwdata-debates,6382041,6378048,1010998326,6167089789,2497722373
historic-hansard,4641117,4641085,783216544,4777620918,1857819874
tna-caselaw,74896,74896,680711377,4152339400,553361600
committees-evidence,137493,135754,498574461,3041304212,49056252
quangos-govuk,86644,86547,368907178,2250333786,48245978
et-decisions,293403,293399,291435626,1777757319,186505502
pwdata-lords,749927,748206,210281887,1282719511,302651133
pwdata-wrans,1222790,1220525,179047499,1092189744,494319875
eur-lex,90260,90260,159379976,972217854,111892138
pwdata-westminster,238497,237184,83132868,507110495,120229875
tax-tribunals,13099,12089,71631645,436953035,5066051
regional,346274,331124,45623780,278305058,182208218
written-answers,143,143,43748825,266867832,1021825
ni-judgments,7927,7772,40857928,249233361,2708172
si-2010plus,281241,270339,40102967,244628099,136869993
uk-treaties,3264,3250,34812418,212355750,2347438
si-pre-2010,174553,174552,32064295,195592200,208581761
pwdata-lordswrans,174000,173461,27279040,166402144,67477885
nao-reports,3983,2570,25566539,155955888,1670713
primary-acts-pre-2000,172995,165438,24783975,151182248,99422634
hmrc-manuals,85197,69136,20775736,126731990,42584375
retained-eu,307329,186371,18926935,115454304,120656859
echr-hudoc,4460,4410,17991627,109748925,1219243
scotlawcom,350,350,15789375,96315188,2570292
primary-acts-2000plus,90901,90838,13619708,83080219,77413317
explanatory-memoranda,10864,5420,13515324,82443476,3444872
hmrc-codes-guidance,14067,14067,11735393,71585897,9334517
pwdata-wms,24777,23678,10119637,61729786,9533349
pwdata-lordswms,21262,20731,9391927,57290755,8074619
explanatory-notes,560,410,9173040,55955544,162366
committees-reports,3285,2341,8252245,50338695,1233370
lawcom,263,262,7415989,45237533,125829
govuk-core-docs,176,175,3058430,18656423,90455
fca-handbook,3661,3661,3014148,18386303,841340
lda-commonsoralquestions,69529,69529,2004846,12229561,35650365
sentencing-council,253,253,1496124,9126356,97049
lda-lordswrittenquestions,20500,20500,1072407,6541683,4978500
tax-treaties-dta,324,324,1051642,6415016,152673
hmrc-ancillary,464,457,1000278,6101696,254067
written-statements,129,129,852742,5201726,880895
nilawcom,17,17,831445,5071815,6770
lda-commonswrittenquestions,8000,8000,402315,2454122,4876318
ots-reports,497,497,369741,2255420,1449683
oecd,505,505,332565,2028646,1475686
planning-policy,64,64,292155,1782146,18592
hmrc-tiins,791,791,145223,885860,1173413
lda-commonsdivisions,5553,5553,90527,552215,1271637
lda-lordsdivisions,2089,2089,17753,108293,461653
building-regs,21,21,9369,57151,7945
