corpus_key,display_label,tier,unit,state,held_sections,held_sections_total_incl_unavailable,embedded_sections,est_sections,est_provenance,denominator_source_to_walk,walk_lead_status,notes
apni,Acts of the Parliament of Northern Ireland (1921–1972),other,document,NOT STARTED,0,0,0,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
bailii-eat,BAILII (EAT),other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,retired V19 — EAT now ingested via FCL court feed (tna-caselaw)
bailii-privy-ni,BAILII (Privy Council NI),other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,retired V19 — Privy Council via FCL (ukpc); NI courts stay parked (FCL excludes them; BAILII contact in progress)
bailii-tribunals,BAILII (Tribunals),other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,retired V19 — UT/FtT via FCL court feeds (tna-caselaw); ET via et-decisions (gov.uk)
bills-api,"UK Parliament Bills (texts, amendments, EN, memoranda)",parliamentary,bill publication,UNMEASURED (denominator set from this count),6535,6574,6535,6535,self-referential — set from the compiled count,bills-api.parliament.uk /Bills + /Publications,CC-proposed (scaffold unavailable),
building-regs,Building Regulations Approved Documents,guidance,document,UNMEASURED (denominator set from this count),21,21,21,21,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
cma-cases,CMA / OIM / SAU cases & decisions,guidance,document,"CLAIMED (target above count, provenance unproven)",21525,22898,21525,22898,unproven,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,
college-of-policing,College of Policing APP,guidance,document,UNMEASURED (denominator set from this count),332,332,332,332,self-referential — set from the compiled count,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,"college.police.uk CF-blocked; licence unverified (V20 audit deleted 1,944 junk rows from the unfiltered gov.uk search era)"
committees-a,Parliamentary Committees,other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,Retired — replaced by committees-reports/committees-evidence via portal scraper (V15)
committees-b,Parliamentary Committees,other,document,RETIRED,0,0,,,none,⚠ NO LEAD — needs a publisher index or a DECLARED scope,CC-proposed: none found,Retired — replaced by committees-reports/committees-evidence via portal scraper (V15)
