corpus,total_sections,compiled_sections,words,r2_bytes_est,neon_heap_bytes
pwdata-debates,6391344,6387304,1012382550,6175533555,2520157158
quangos-govuk,171145,170985,902984511,5508205517,97372652
historic-hansard,4641117,4641085,783216544,4777620918,1871743225
tna-caselaw,74896,74896,680711377,4152339400,554031742
committees-evidence,142315,140567,508343362,3100894508,51262610
et-decisions,293403,293399,291435626,1777757319,187385711
pwdata-lords,754545,752805,211590640,1290702904,306608738
pwdata-wrans,1235016,1232751,180642434,1101918847,502547243
eur-lex,90260,90260,159379976,972217854,112162918
cma-cases,22898,21525,157997549,963785049,10530507
scottish-parliament-or,1043743,1042819,124396770,758820297,435024790
pwdata-westminster,240582,239262,83774185,511022529,121783548
scottish-courts,13070,13056,80067110,488409371,8795563
uk-treaties-fcdo,23372,23372,72684947,443378177,10001923
tax-tribunals,13099,12089,71631645,436953035,5105348
committees-reports,51030,24876,70980271,432979653,17436010
ico,26586,26557,63079776,384786634,10796943
si-pre-2010,419636,419250,61581830,375649163,297940764
ofgem,17160,17142,54974878,335346756,9775109
bills-api,6574,6535,47968210,292606081,1798827
regional,346274,331124,45623780,278305058,187304246
written-answers,143,143,43748825,266867832,1022254
ni-judgments,7927,7772,40857928,249233361,2731953
si-2010plus,281244,270339,40102967,244628099,141507768
uk-treaties,3264,3250,34812418,212355750,2357230
niassembly-hansard,196348,196348,32837622,200309494,75927848
senedd-cofnod,191756,191730,29294355,178695566,55655343
pwdata-lordswrans,175713,175174,27526245,167910095,68692870
nao-reports,3983,2570,25566539,155955888,1682662
primary-acts-pre-2000,172995,165438,24783975,151182248,103532830
primary-acts-2000plus,145767,145704,22001014,134206185,101611673
hmrc-manuals,85197,69136,20775736,126731990,42839966
retained-eu,308513,187555,18991303,115846948,125360491
echr-hudoc,4460,4410,17991627,109748925,1232623
independent-reviews,667,657,17191906,104870627,335174
scotlawcom,350,350,15789375,96315188,2573442
inquiry-reports,146,140,14560013,88816079,49747
explanatory-memoranda,10864,5420,13515324,82443476,3477464
ofcom,4169,4169,11903554,72611679,2155900
hmrc-codes-guidance,14067,14067,11735393,71585897,9376718
pwdata-wms,24962,23863,10223233,62361721,9682861
pwdata-lordswms,21463,20932,9504161,57975382,8221889
explanatory-notes,560,410,9173040,55955544,164046
early-day-motions,60737,60737,8085150,49319415,17857712
lawcom,263,262,7415989,45237533,126618
petitions,49482,49482,6244101,38089016,14924096
govuk-core-docs,176,175,3058430,18656423,90983
fca-handbook,3661,3661,3014148,18386303,852323
lda-commonsoralquestions,69529,69529,2004846,12229561,35858952
sentencing-council,253,253,1496124,9126356,97808
cps-guidance,270,270,1272877,7764550,135399
inquiry-evidence,90,89,1130004,6893024,49401
lda-lordswrittenquestions,20500,20500,1072407,6541683,5040000
tax-treaties-dta,324,324,1051642,6415016,153645
hmrc-ancillary,479,472,1044360,6370596,265726
written-statements,129,129,852742,5201726,881282
college-of-policing,332,332,840308,5125879,180991
nilawcom,17,17,831445,5071815,6821
erskine-may,2038,1873,589373,3595175,612944
lda-commonswrittenquestions,8000,8000,402315,2454122,4900318
ots-reports,497,497,369741,2255420,1451174
oecd,505,505,332565,2028646,1477201
planning-policy,64,64,292155,1782146,19296
hmrc-tiins,791,791,145223,885860,1175786
lda-commonsdivisions,5553,5553,90527,552215,1288296
parliament-treaties,328,328,64845,395555,184783
members-interests,680,680,42435,258853,218100
lda-lordsdivisions,2089,2089,17753,108293,467920
lgsco,20,20,14772,90109,7774
building-regs,21,21,9369,57151,8176
