ws_id,target_act_id,target_provision_ref,scope_band,detection,source_type,source_gid,source_doc_uri,source_provision_ref,resolved,target_uri,citation_text,raw_fragment
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/1984/1822,http://www.legislation.gov.uk/id/nisi/1984/1822,schedule-1-paragraph-15,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">bso as to prevent an award of damages made in respect of an act or omission on the ground that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998","P3para><Text><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1466422311140"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">so as to prevent an award of damages made in respect of an act or omission on the ground that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998.</Addition></Text></P3para></P3></P2para></P2></P1para></P1></Part></ScheduleBody></Schedule><Schedule DocumentURI=""http://www.legislation.gov.uk/nisi/1984/1822/schedule/n2"" IdURI=""http://www.legislation.gov.uk/id/nisi/1984/1822/schedule/n2"" RestrictStartDate=""2006-01-01"" id=""s"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/1994/1896,http://www.legislation.gov.uk/id/nisi/1994/1896,article-18B,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">cso as to prevent an award of damages in respect of an act or omission on the ground that the act or omission was unlawful by virtue of section 6(1) of the Human Rights Act 1998","ddition></Pnumber><P3para><Text><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">so as to prevent an award of damages in respect of an act or omission on the ground that the act or omission was unlawful by virtue of section 6(1) of the Human Rights Act 1998.</Addition></Text></P3para></P3></P2para></P2><P2 DocumentURI=""http://www.legislation.gov.uk/nisi/1994/1896/article/18B/4"" IdURI=""http://www.legislation.gov.uk/id/nisi/1994/1896/article/18B/4"" id=""article-18B-4""><Pnumber><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/1995/3213,http://www.legislation.gov.uk/id/nisi/1995/3213,article-11,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"id=""article-11-6A"">6AParagraph (6) does not have effect to authorise the Authority to make an order as mentioned in sub-paragraph (a) or (b) of that paragraph, if their doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998","</Addition></Pnumber><P2para><Text><Addition ChangeId=""d29p996"" CommentaryRef=""c17248291"">Paragraph (6) does not have effect to authorise the Authority to make an order as mentioned in sub-paragraph (a) or (b) of that paragraph, if their doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998 (unlawful for public authority to act in contravention of a Convention right).</Addition></Text></P2para></P2><P2 DocumentURI=""http://www.legislation.gov.uk/nisi/1995/3213/article/11/7"" IdURI=""http://www.legislation.gov.uk/id/nisi/1995/3213/article/11/7"" id=""article-11-7""><Pnum"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/1996/3158,http://www.legislation.gov.uk/id/nisi/1996/3158,article-69I,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">bso as to prevent an award of damages in respect of an act or omission on the grounds that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998","er><P3para><Text><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1515595178958"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">so as to prevent an award of damages in respect of an act or omission on the grounds that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998 (incompatibility of act or omission with Convention rights).</Addition></Text></P3para></P3></P2para></P2><P2 DocumentURI=""http://www.legislation.gov.uk/nisi/1996/3158/article/69I/4"" IdURI=""http://www.legislation.gov.uk/id/nisi/1996/3158/article/69I/4"" id=""article-69I-4""><Pnumb"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/1996/3159,http://www.legislation.gov.uk/id/nisi/1996/3159,article-41I,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">bso as to prevent an award of damages in respect of an act or omission on the grounds that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998","er><P3para><Text><Addition ChangeId=""key-REDACTED-CLML-COMMENTARY-HANDLE-1520439936097"" CommentaryRef=""key-REDACTED-CLML-COMMENTARY-HANDLE"">so as to prevent an award of damages in respect of an act or omission on the grounds that the act or omission was unlawful as a result of section 6(1) of the Human Rights Act 1998 (incompatibility of act or omission with Convention rights).</Addition></Text></P3para></P3></P2para></P2><P2 DocumentURI=""http://www.legislation.gov.uk/nisi/1996/3159/article/41I/4"" IdURI=""http://www.legislation.gov.uk/id/nisi/1996/3159/article/41I/4"" id=""article-41I-4""><Pnumb"
WS-01,ukpga/1998/42,,whole-act,text,SI,nisi/2003/435,http://www.legislation.gov.uk/id/nisi/2003/435,article-12A,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"id=""article-12A-3-a-i"">ithe individual's Convention rights (within the meaning of the Human Rights Act 1998","8101551121"" CommentaryRef=""M_F_2878bfad-91b6-4b75-9770-0d341a9f6689"">i</Addition></Pnumber><P4para><Text><Addition ChangeId=""M_F_2878bfad-91b6-4b75-9770-0d341a9f6689-1518101551121"" CommentaryRef=""M_F_2878bfad-91b6-4b75-9770-0d341a9f6689"">the individual's Convention rights (within the meaning of the Human Rights Act 1998), or</Addition></Text></P4para></P4><P4 DocumentURI=""http://www.legislation.gov.uk/nisi/2003/435/article/12A/3/a/ii"" IdURI=""http://www.legislation.gov.uk/id/nisi/2003/435/article/12A/3/a/ii"" id=""article-12A-3-a-ii""><Pnumber><Addition ChangeId=""M_F_2878bfad-91b6-4b75-9770-0d341a"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/2005/1967,http://www.legislation.gov.uk/id/nisi/2005/1967,article-17,true,http://www.legislation.gov.uk/id/ukpga/1998/42,to have been in bad faith; orbso as to prevent an award of damages in respect of the act or omission on the grounds that it was unlawful as a result of section 6(1) of the Human Rights Act 1998,"k/nisi/2005/1967/article/17/4/b"" IdURI=""http://www.legislation.gov.uk/id/nisi/2005/1967/article/17/4/b"" id=""article-17-4-b""><Pnumber>b</Pnumber><P3para><Text>so as to prevent an award of damages in respect of the act or omission on the grounds that it was unlawful as a result of section 6(1) of the Human Rights Act 1998 (c. 42) (acts of public authorities incompatible with Convention rights).</Text></P3para></P3></P2para></P2></P1para></P1></P1group></Pblock></Chapter><Chapter DocumentURI=""http://www.legislation.gov.uk/nisi/2005/1967/part/II/chapter/III"" IdURI=""http://www.legislation.gov.uk/id"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/2005/255,http://www.legislation.gov.uk/id/nisi/2005/255,article-18,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"paragraph (6) insert—6AParagraph (6) does not have effect to authorise the Authority to make an order as mentioned in sub-paragraph (a) or (b) of that paragraph, if their doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998","Class=""unknown"" Context=""unknown"" Format=""default""><P2><Pnumber>6A</Pnumber><P2para><Text>Paragraph (6) does not have effect to authorise the Authority to make an order as mentioned in sub-paragraph (a) or (b) of that paragraph, if their doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998 (unlawful for public authority to act in contravention of a Convention right).</Text></P2para></P2></BlockAmendment><AppendText>

.</AppendText></P1para></P1></P1group><P1group RestrictExtent=""N.I."" RestrictStartDate=""2015-04-06""><Title>Freezing orders</Title><P1 DocumentURI=""h"
WS-01,ukpga/1998/42,section-6,whole-act,text,SI,nisi/2005/255,http://www.legislation.gov.uk/id/nisi/2005/255,article-183,true,http://www.legislation.gov.uk/id/ukpga/1998/42,"id=""article-183-2-a-i"">ithe Board, oriiany public authority (within the meaning of section 6 of the Human Rights Act 1998",", or</Text></P4para></P4><P4 DocumentURI=""http://www.legislation.gov.uk/nisi/2005/255/article/183/2/a/ii"" IdURI=""http://www.legislation.gov.uk/id/nisi/2005/255/article/183/2/a/ii"" id=""article-183-2-a-ii""><Pnumber>ii</Pnumber><P4para><Text>any public authority (within the meaning of section 6 of the Human Rights Act 1998 (c. 42)) which receives the information directly or indirectly from the Board,</Text></P4para></P4><Text>for any of the purposes specified in section 17(2)(a) to (d) of the Anti-terrorism, Crime and Security Act 2001 (c. 24) (criminal proceedings and investigations),</Text></P3"
WS-01,ukpga/1998/42,section-6-1,whole-act,text,SI,nisi/2005/255,http://www.legislation.gov.uk/id/nisi/2005/255,article-28,true,http://www.legislation.gov.uk/id/ukpga/1998/42,(1) does not have effect to authorise the Regulator to make an order as mentioned in that paragraph if its doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998," IdURI=""http://www.legislation.gov.uk/id/nisi/2005/255/article/28/2"" id=""article-28-2""><Pnumber>2</Pnumber><P2para><Text>Paragraph (1) does not have effect to authorise the Regulator to make an order as mentioned in that paragraph if its doing so would be unlawful as a result of section 6(1) of the Human Rights Act 1998 (c. 42) (unlawful for public authority to act in contravention of a Convention right).</Text></P2para></P2></P1para></P1></P1group></Pblock><Pblock DocumentURI=""http://www.legislation.gov.uk/nisi/2005/255/part/II/crossheading/trustees-of-occupational-pension-schemes"" IdURI=""htt"
