ws_id,measure,instrument_title,resolved_gid,provision_scope,target_named_in_spec,markup,text,enabling,act_level_rows,distinct_source_instruments,made_under_edges,resolution,basis
WS-02,Supreme Court abolition; appellate jurisdiction returned to the Lords (CRA 2005 Pt 3),Constitutional Reform Act 2005,ukpga/2005/4,part-3,yes,4,85,15,427,64,236,"resolved by exact title match; 'part-3' expanded to 46 provision refs from the Act's own CLML (45 provisions read from ukpga/2005/4 part-3). A literal match on the bare string 'part-3' returns 24 row(s) — references name sections, not Parts, which is why the Part is expanded. act_level_rows (427) name the Act with no provision and are reported SEPARATELY: any of them may bear on this Part and the markup does not say which.",named in the spec
WS-03,Lord Chancellor's office and powers restored (CRA 2005 Pt 2; JAC),Constitutional Reform Act 2005,ukpga/2005/4,part-2,yes,1,13,5,427,12,236,"resolved by exact title match; 'part-2' expanded to 22 provision refs from the Act's own CLML (21 provisions read from ukpga/2005/4 part-2). A literal match on the bare string 'part-2' returns 0 row(s) — references name sections, not Parts, which is why the Part is expanded. act_level_rows (427) name the Act with no provision and are reported SEPARATELY: any of them may bear on this Part and the markup does not say which.",named in the spec
WS-03,Lord Chancellor's office and powers restored (CRA 2005 Pt 2; JAC),Constitutional Reform Act 2005,ukpga/2005/4,part-4,no,8,307,34,427,106,236,"resolved by exact title match; 'part-4' expanded to 76 provision refs from the Act's own CLML (75 provisions read from ukpga/2005/4 part-4). A literal match on the bare string 'part-4' returns 18 row(s) — references name sections, not Parts, which is why the Part is expanded. act_level_rows (427) name the Act with no provision and are reported SEPARATELY: any of them may bear on this Part and the markup does not say which.","the spec names ""JAC"" without a Part; the Judicial Appointments Commission is constituted by CRA 2005 Part 4 — MY identification, strike it if wrong"
WS-06,Climate Change Act 2008 + the 2019 target order,Climate Change Act 2008,ukpga/2008/27,,yes,20,336,142,,147,183,resolved by exact title match; whole-Act counts,named in the spec
WS-06,Climate Change Act 2008 + the 2019 target order,The Climate Change Act 2008 (2050 Target Amendment) Order 2019,uksi/2019/1056,,yes,0,0,4,,2,4,resolved by exact title match; whole-Act counts,"the spec names ""the 2019 target order""; this is the instrument of that description, resolved by title against corpus_acts"
WS-07,Arm's-length body estate (~444 quangos),Public Bodies Act 2011,ukpga/2011/24,,yes,16,146,51,,64,60,resolved by exact title match; whole-Act counts,"named in the spec, as the instrument ""for a subset"""
WS-08,Judicial review restriction,Senior Courts Act 1981,ukpga/1981/54,,no,39,842,447,,451,521,resolved by exact title match; whole-Act counts,the spec names NO instrument. s.31 is the judicial review jurisdiction — MY identification
WS-08,Judicial review restriction,Judicial Review and Courts Act 2022,ukpga/2022/35,,no,18,99,22,,25,18,resolved by exact title match; whole-Act counts,the spec names NO instrument. The most recent statute restricting judicial review — MY identification
WS-09,"Patronage restoration — judicial, KC, Regius appointments",Constitutional Reform Act 2005,ukpga/2005/4,part-4,no,8,307,34,427,106,236,"resolved by exact title match; 'part-4' expanded to 76 provision refs from the Act's own CLML (75 provisions read from ukpga/2005/4 part-4). A literal match on the bare string 'part-4' returns 18 row(s) — references name sections, not Parts, which is why the Part is expanded. act_level_rows (427) name the Act with no provision and are reported SEPARATELY: any of them may bear on this Part and the markup does not say which.","the spec names NO instrument. Judicial appointments sit in CRA 2005 Part 4 — MY identification, and it overlaps WS-03"
WS-10,Removal from office and public-employment disqualification,House of Commons Disqualification Act 1975,ukpga/1975/24,,no,58,1063,10,,545,11,resolved by exact title match; whole-Act counts,the spec names NO instrument — MY identification
