company_registration_number,donor_name_as_published,donation_rows,rows_that_would_become_signals,distinct_members,first_accepted,last_accepted,total_pence
01970855,"BAA Airports Ltd",245,142,142,2001-02-01,2009-03-17,121749000
12373468,"The Refugee, Asylum and Migration Policy Project (RAMP)",60,60,11,2020-07-01,2026-05-01,63767300
09562237,"Labour Friends of Israel Ltd",45,37,24,2013-09-29,2026-01-25,10347256
01960988,"Manchester Airport Plc",43,28,28,2001-06-30,2003-04-09,21044802
02890577,"Christine Lee & Co",26,25,1,2010-07-05,2020-02-28,43229254
05635995,"BM Creative Management Ltd",25,22,7,2007-05-30,2019-10-10,18475000
04987694,"The Cayzer Trust",30,21,4,2005-03-31,2024-05-08,17929000
06681477,"Aquind Limited",20,20,8,2018-09-07,2024-03-27,17756500
9630980,"Labour Together Limited",127,17,17,2020-04-21,2026-03-30,232565934
8114952,"Conservative Friends of Israel (CFI Ltd)",36,17,17,2014-10-16,2022-09-28,11677000
08114952,"Conservative Friends of Israel Limited",19,17,12,2013-11-10,2026-01-04,4890000
7213374,"MPM Connect Limited (a company controlled by Peter Hearn)",18,17,2,2020-03-26,2023-11-27,35221700
09630980,"Labour Together",15,14,7,2017-04-25,2024-08-01,26181413
00675216,"Timpson Ltd",14,14,1,2009-02-06,2017-04-05,85242303
06034381,"Spicer Haart",13,13,1,2015-09-24,2021-09-13,2922117
13425037,"Abraham Accords (UK) (Middle East Forum Ltd)",13,13,4,2022-01-08,2023-10-05,6313925
02865543,"Countywide Developments Limited",15,12,4,2003-04-29,2024-10-02,21257308
03201382,"OPD Group Ltd",13,12,3,2023-10-30,2026-02-06,30050000
04745677,"Mission Media Ltd",11,11,1,2014-08-28,2015-05-31,6000000
07213374,"MPM Connect Ltd",11,11,1,2020-01-15,2023-07-31,13950000
2255021,"Britania Ltd",11,11,1,2011-07-26,2014-09-02,2457572
5635995,"BM Creative Management Limited",49,10,8,2011-02-07,2022-03-07,17974000
OC412989,"Good Faith Partnership LLP",22,10,3,2018-02-05,2025-12-30,27729700
13763473,"Elnet UK Limited",13,9,8,2022-11-28,2026-02-16,5153672
03979826,"Grand Central Railway Ltd",11,9,8,2009-07-08,2014-08-22,3375600
4987694,"The Cayzer Trust Company Ltd",71,8,2,2011-06-06,2025-04-14,45485000
03010238,"Sun Mark Ltd",11,8,6,2009-12-10,2020-03-13,9885779
SC307960,"Kirklee Property Company (2) Ltd",10,8,1,2016-03-24,2019-11-20,4000000
03275808,"Brompton Capital Ltd",9,8,5,2008-03-14,2014-07-02,29600000
3408967,"Betterworld Limited",37,7,4,2007-10-18,2025-04-10,39775000
11870524,"David Kogan Ltd",8,7,5,2022-02-14,2024-05-13,3091000
8863041,"Energy & Climate Intelligence Unit",7,7,7,2023-12-08,2023-12-08,1063755
05754547,"Cambria Automobiles Ltd",7,7,1,2018-10-17,2023-06-09,4070000
11009144,"IX Wireless Limited",42,6,4,2021-01-26,2023-06-09,26960100
0,"Ruskin Hall Trustees Limited",7,6,3,2013-02-18,2018-02-19,2902574
05610658,"Pulsecheck Ltd",7,6,1,2010-04-21,2015-08-21,1182500
3718331,"Henley Homes",7,6,1,2013-11-04,2022-07-20,3111956
5699535,"Yalta European Strategy Ltd",6,6,6,2022-09-08,2022-09-08,1220034
82990,"Conservative Friends of Israel Ltd",6,6,6,2022-04-03,2022-04-03,2242000
00806669,"C. A. Church Ltd",6,6,1,2001-03-05,2005-05-12,8500000
7964746,"Satellite Applications Catapult Ltd",6,6,6,2020-02-03,2020-02-03,3960000
3979826,"Grand Central Railway Company Ltd",6,6,5,2009-07-01,2011-06-01,2590000
2471319,"Hotcourses Ltd",6,6,1,2005-05-27,2009-01-25,21271213
09010358,"Avre Partnership Ltd",6,6,3,2020-01-24,2024-04-29,2444083
