corpus,total_sections,compiled_sections,words,r2_bytes_est,neon_heap_bytes
pwdata-debates,6382041,6378048,1010998326,6167089789,2497722373
historic-hansard,4641117,4641085,783216544,4777620918,1857819874
tna-caselaw,74896,74896,680711377,4152339400,553361600
committees-evidence,142315,140567,508343362,3100894508,50835665
quangos-govuk,86644,86547,368907178,2250333786,48245978
et-decisions,293403,293399,291435626,1777757319,186505502
pwdata-lords,750369,748648,210398216,1283429118,302814027
pwdata-wrans,1224109,1221844,179231615,1093312852,494809221
eur-lex,90260,90260,159379976,972217854,111892138
pwdata-westminster,238678,237365,83187313,507442609,120302170
tax-tribunals,13099,12089,71631645,436953035,5066051
committees-reports,51030,24876,70980271,432979653,17282920
si-pre-2010,419636,419250,61581830,375649163,290979781
bills-api,6574,6535,47968210,292606081,1779105
regional,346274,331124,45623780,278305058,182208218
written-answers,143,143,43748825,266867832,1021825
ni-judgments,7927,7772,40857928,249233361,2708172
si-2010plus,281244,270339,40102967,244628099,136870635
uk-treaties,3264,3250,34812418,212355750,2347438
niassembly-hansard,196348,196348,32837622,200309494,75338804
senedd-cofnod,191756,191730,29294355,178695566,54504807
pwdata-lordswrans,174134,173595,27300153,166530933,67531975
nao-reports,3983,2570,25566539,155955888,1670713
primary-acts-pre-2000,172995,165438,24783975,151182248,99422634
primary-acts-2000plus,145767,145704,22001014,134206185,98030007
hmrc-manuals,85197,69136,20775736,126731990,42584375
retained-eu,308513,187555,18991303,115846948,121027883
echr-hudoc,4460,4410,17991627,109748925,1219243
scotlawcom,350,350,15789375,96315188,2570292
inquiry-reports,146,140,14560013,88816079,49309
explanatory-memoranda,10864,5420,13515324,82443476,3444872
hmrc-codes-guidance,14067,14067,11735393,71585897,9334517
pwdata-wms,24787,23688,10124851,61761591,9537333
pwdata-lordswms,21272,20741,9397360,57323896,8078717
explanatory-notes,560,410,9173040,55955544,162366
lawcom,263,262,7415989,45237533,125829
govuk-core-docs,176,175,3058430,18656423,90455
fca-handbook,3661,3661,3014148,18386303,841340
lda-commonsoralquestions,69529,69529,2004846,12229561,35650365
sentencing-council,253,253,1496124,9126356,97049
lda-lordswrittenquestions,20500,20500,1072407,6541683,4978500
tax-treaties-dta,324,324,1051642,6415016,152673
hmrc-ancillary,464,457,1000278,6101696,254067
written-statements,129,129,852742,5201726,880895
college-of-policing,332,332,840308,5125879,179995
nilawcom,17,17,831445,5071815,6770
lda-commonswrittenquestions,8000,8000,402315,2454122,4876318
ots-reports,497,497,369741,2255420,1449683
oecd,505,505,332565,2028646,1475686
planning-policy,64,64,292155,1782146,18592
hmrc-tiins,791,791,145223,885860,1173413
lda-commonsdivisions,5553,5553,90527,552215,1271637
lda-lordsdivisions,2089,2089,17753,108293,461653
building-regs,21,21,9369,57151,7945
