organisation,slug,body_type,govuk_status,parent,total_docs,relevant_docs,guidance,statutory_guidance,detailed_guide,manual_section,manual,policy_paper,decision,regulation,notice,research,independent_report,impact_assessment,corporate_report,consultation_outcome,government_response,other_relevant
Academy for Justice Commissioning,academy-for-justice-commissioning,Other,closed,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academy for Social Justice,academy-for-social-justice,Other,live,ministry-of-justice,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Academy for Social Justice Commissioning,academy-for-social-justice-commissioning,Other,closed,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Accelerated Access Review,accelerated-access-review,Other,closed,department-of-health-and-social-care,41,10,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Accelerated Capability Environment,accelerated-capability-environment,Sub organisation,live,home-office,57,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Active Travel England,active-travel-england,Executive agency,exempt,department-for-transport,77,28,12,1,1,0,0,4,0,0,0,3,0,0,7,0,0,0
Administration of Radioactive Substances Advisory Committee,administration-of-radioactive-substances-advisory-committee,Other,live,department-of-health-and-social-care,11,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative Court,administrative-court,Court,live,hm-courts-and-tribunals-service,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administrative Justice and Tribunals Council,administrative-justice-and-tribunals-council,Advisory non-departmental public body,closed,ministry-of-justice,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Administrative Justice and Tribunals Council Welsh Committee,administrative-justice-and-tribunals-council-welsh-committee,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Admiralty Court,admiralty-court,Court,live,hm-courts-and-tribunals-service,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adult Learning Inspectorate,adult-learning-inspectorate,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Advanced Research and Invention Agency,advanced-research-and-invention-agency,Executive non-departmental public body,exempt,department-for-science-innovation-and-technology,14,5,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0
Advantage West Midlands,advantage-west-midlands,Executive agency,closed,,7,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Advisory Committee for Social Science,advisory-committee-for-social-science,Other,joining,food-standards-agency,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisory Committee on Animal Feedingstuffs,advisory-committee-on-animal-feedingstuffs,Other,joining,food-standards-agency,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisory Committee on Business Appointments,advisory-committee-on-business-appointments,Advisory non-departmental public body,live,cabinet-office,713,586,1,0,0,0,0,0,571,0,0,0,0,0,14,0,0,0
Advisory Committee on Clinical Excellence Awards,advisory-committee-on-clinical-excellence-awards,Advisory non-departmental public body,closed,department-of-health-and-social-care,95,44,27,0,0,0,0,1,0,0,0,0,0,0,14,2,0,0
Advisory Committee on Clinical Impact Awards,advisory-committee-on-clinical-impact-awards,Advisory non-departmental public body,live,department-of-health-and-social-care,60,32,21,0,6,0,0,0,0,0,0,0,0,0,4,1,0,0
Advisory Committee on Conscientious Objectors,advisory-committee-on-conscientious-objectors,Advisory non-departmental public body,live,ministry-of-defence,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advisory Committee on Novel Foods and Processes,advisory-committee-on-novel-foods-and-processes,Other,joining,food-standards-agency,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisory Committee on Pesticides,advisory-committee-on-pesticides,Advisory non-departmental public body,closed,department-for-environment-food-rural-affairs,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Advisory Committee on Releases to the Environment,advisory-committee-on-releases-to-the-environment,Advisory non-departmental public body,live,department-for-environment-food-rural-affairs,62,56,0,0,0,0,0,0,0,0,0,40,0,0,15,0,0,1
Advisory Committee on the Microbiological Safety of Food,advisory-committee-on-the-microbiological-safety-of-food,Other,joining,food-standards-agency,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisory Committees on Justices of the Peace,advisory-committees-on-justices-of-the-peace,Advisory non-departmental public body,exempt,ministry-of-justice,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advisory Council on the Misuse of Drugs,advisory-council-on-the-misuse-of-drugs,Advisory non-departmental public body,live,home-office,326,107,8,0,0,0,0,21,0,0,0,37,10,0,31,0,0,0
Advisory Group on Military and Emergency Response Medicine,advisory-group-on-military-medicine,Other,live,ministry-of-defence,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Advisory Panel on Public Sector Information,advisory-panel-on-public-sector-information,Advisory non-departmental public body,closed,ministry-of-justice,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Advisory, Conciliation and Arbitration Service",acas,Executive non-departmental public body,exempt,department-for-business-and-trade,65,25,2,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0
Agri-Food and Biosciences Institute (Northern Ireland),agri-food-and-biosciences-institute,Executive non-departmental public body,exempt,department-of-agriculture-environment-and-rural-affairs-northern-ireland,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Dwelling House Advisory Committees (x16),agricultural-dwelling-house-advisory-committees-x16,Advisory non-departmental public body,closed,department-for-environment-food-rural-affairs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agricultural Wages Committee,agricultural-wages-committee-x13,Executive non-departmental public body,closed,department-for-environment-food-rural-affairs,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture and Horticulture Development Board,agriculture-and-horticulture-development-board,Executive non-departmental public body,exempt,department-for-environment-food-rural-affairs,43,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
AI Safety Institute,ai-safety-institute,Sub organisation,closed,department-for-science-innovation-and-technology,26,9,1,0,0,0,0,1,0,0,3,1,3,0,0,0,0,0
AI Security Institute,ai-security-institute,Sub organisation,exempt,department-for-science-innovation-and-technology,16,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Air Accidents Investigation Branch,air-accidents-investigation-branch,Other,live,department-for-transport,12287,11732,21,0,1,0,0,9,0,16,0,0,342,0,1,0,0,11342
Airports Commission,airports-commission,Other,closed,department-for-transport,93,54,6,0,0,0,0,3,0,0,0,24,15,0,0,6,0,0
Alcohol Education and Research Council,alcohol-education-and-research-council,Other,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Ancient Monuments Board for Scotland,ancient-monuments-board-for-scotland,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Animal and Plant Health Agency,animal-and-plant-health-agency,Executive agency,live,department-for-environment-food-rural-affairs,3722,643,207,20,246,0,0,18,0,0,0,113,0,0,36,3,0,0
Animal Health,animal-health,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Animal Health and Veterinary Laboratories Agency,animal-health-and-veterinary-laboratories-agency,Executive agency,closed,department-for-environment-food-rural-affairs,13,6,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0
Animal Procedures Committee,animal-procedures-committee,Other,closed,,17,15,0,0,0,0,0,2,0,0,0,0,0,0,13,0,0,0
Animals in Science Committee,animals-in-science-committee,Advisory non-departmental public body,live,home-office,124,44,6,0,0,0,0,4,0,0,0,10,0,0,24,0,0,0
Appeals Service Agency,appeals-service-agency,Executive agency,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Architects Registration Board,architects-registration-board,Public corporation,exempt,ministry-of-housing-communities-local-government,11,9,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0
Armagh Observatory and Planetarium,armagh-observatory-and-planetarium,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Armed Forces Covenant Fund Trust,armed-forces-covenant-fund-trust,Executive non-departmental public body,exempt,ministry-of-defence,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Armed Forces' Pay Review Body,armed-forces-pay-review-body,Advisory non-departmental public body,live,ministry-of-defence,85,48,0,0,0,0,0,3,0,0,0,25,19,0,1,0,0,0
Armed Forces Personnel Administration Agency,armed-forces-personnel-administration-agency,Executive agency,closed,,9,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
Army Base Repair Organisation,army-base-repair-organisation,Executive agency,closed,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Arts and Humanities Research Council,arts-and-humanities-research-council,Sub organisation,exempt,uk-research-and-innovation,33,21,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0
Arts Council England,arts-council-england,Executive non-departmental public body,exempt,department-for-culture-media-and-sport,197,33,0,0,1,0,0,1,0,0,0,1,0,0,29,0,0,1
Arts Council of Northern Ireland,arts-council-of-northern-ireland,Other,exempt,department-for-communities-northern-ireland,21,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
Arts Council of Wales,arts-council-of-wales,Other,exempt,welsh-government,23,21,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0
Ashington Education Action Zone,ashington-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Asset Protection Agency,asset-protection-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Assets Recovery Agency,assets-recovery-agency,Executive agency,closed,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Atomic Weapons Establishment,atomic-weapons-establishment,Executive non-departmental public body,closed,ministry-of-defence,11,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0
Attorney General's Office,attorney-generals-office,Ministerial department,live,,1325,104,29,5,19,0,0,10,0,0,1,0,2,0,29,6,1,2
Audit Commission,audit-commission,Public corporation,closed,ministry-of-housing-communities-and-local-government-2018-2021,19,13,3,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0
AWE Nuclear Security Technologies,awe-nuclear-security-technologies,Executive non-departmental public body,exempt,ministry-of-defence,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azelle Rodney Inquiry,azelle-rodney-inquiry,Other,closed,,4,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Baha Mousa Inquiry,baha-mousa-inquiry,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bank of England,bank-of-england,Other,exempt,treasury-solicitor-s-department,21,5,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0
Barker Review of Land Use Planning,barker-review-of-land-use-planning,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Barrow Education Action Zone,barrow-education-action-zone,Other,closed,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
BBC,bbc,Public corporation,exempt,department-for-culture-media-and-sport,28,16,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
BBC World Service,bbc-world-service,Other,exempt,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bedford Education Action Zone,bedford-education-action-zone,Other,closed,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Behavioural Insights Team,behavioural-insights-team,Other,closed,,12,8,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0
